date,model_version,game_pk,away_team,home_team,side_bet,moneyline,model_prob,market_prob,edge,stake,won,pnl,bankroll_after
2026-05-14,v1_team_records,823950,San Francisco Giants,Los Angeles Dodgers,away,156.0,0.419,0.386,0.033,100,False,-100.0,9900.0
2026-05-14,v1_team_records,824602,Kansas City Royals,Chicago White Sox,home,170.0,0.531,0.359,0.172,100,True,170.0,10070.0
2026-05-14,v1_team_records,824762,Philadelphia Phillies,Boston Red Sox,away,110.0,0.52,0.444,0.077,100,True,110.0,10180.0
2026-05-14,v1_team_records,824926,Chicago Cubs,Atlanta Braves,away,225.0,0.474,0.317,0.156,100,True,225.0,10405.0
2026-05-15,v1_team_records,822739,Baltimore Orioles,Washington Nationals,home,121.0,0.512,0.443,0.069,100,True,121.0,10526.0
2026-05-15,v1_team_records,822983,Miami Marlins,Tampa Bay Rays,home,-115.0,0.594,0.424,0.17,100,True,86.96,10612.96
2026-05-15,v1_team_records,823061,Kansas City Royals,St. Louis Cardinals,home,-107.0,0.574,0.507,0.067,100,True,93.46,10706.41
2026-05-15,v1_team_records,823140,San Diego Padres,Seattle Mariners,away,118.0,0.543,0.447,0.096,100,True,118.0,10824.41
2026-05-15,v1_team_records,823707,Milwaukee Brewers,Minnesota Twins,away,-104.0,0.562,0.497,0.065,100,True,96.15,10920.57
2026-05-15,v1_team_records,824037,Los Angeles Dodgers,Los Angeles Angels,home,203.0,0.381,0.324,0.057,100,False,-100.0,10820.57
2026-05-15,v1_team_records,824194,Texas Rangers,Houston Astros,away,-105.0,0.564,0.501,0.063,100,False,-100.0,10720.57
2026-05-15,v1_team_records,824280,Toronto Blue Jays,Detroit Tigers,home,113.0,0.494,0.46,0.034,100,True,113.0,10833.57
2026-05-15,v1_team_records,824439,Cincinnati Reds,Cleveland Guardians,away,123.0,0.495,0.443,0.053,100,True,123.0,10956.57
2026-05-15,v1_team_records,824925,Boston Red Sox,Atlanta Braves,home,-145.0,0.619,0.58,0.04,100,True,68.97,11025.53
2026-05-16,v1_team_records,822981,Miami Marlins,Tampa Bay Rays,home,-137.0,0.603,0.564,0.039,100,False,-100.0,10925.53
2026-05-16,v1_team_records,823060,Kansas City Royals,St. Louis Cardinals,home,-115.0,0.583,0.458,0.126,100,True,86.96,11012.49
2026-05-16,v1_team_records,823139,San Diego Padres,Seattle Mariners,away,154.0,0.553,0.394,0.159,100,True,154.0,11166.49
2026-05-16,v1_team_records,823382,Philadelphia Phillies,Pittsburgh Pirates,home,147.0,0.522,0.396,0.126,100,False,-100.0,11066.49
2026-05-16,v1_team_records,823627,New York Yankees,New York Mets,away,-118.0,0.603,0.532,0.071,100,False,-100.0,10966.49
2026-05-16,v1_team_records,823706,Milwaukee Brewers,Minnesota Twins,away,-120.0,0.573,0.532,0.041,100,True,83.33,11049.82
2026-05-16,v1_team_records,824038,Los Angeles Dodgers,Los Angeles Angels,away,-135.0,0.628,0.557,0.071,100,True,74.07,11123.9
2026-05-16,v1_team_records,824435,Cincinnati Reds,Cleveland Guardians,away,138.0,0.505,0.41,0.096,100,False,-100.0,11023.9
2026-05-16,v1_team_records,824600,Chicago Cubs,Chicago White Sox,away,100.0,0.563,0.345,0.218,100,False,-100.0,10923.9
2026-05-16,v1_team_records,824924,Boston Red Sox,Atlanta Braves,home,-120.0,0.628,0.536,0.091,100,False,-100.0,10823.9
2026-05-17,v1_team_records,822738,Baltimore Orioles,Washington Nationals,home,1060.0,0.535,0.091,0.444,100,False,-100.0,10723.9
2026-05-17,v1_team_records,823058,Kansas City Royals,St. Louis Cardinals,home,333.0,0.592,0.252,0.34,100,False,-100.0,10623.9
2026-05-17,v1_team_records,823138,San Diego Padres,Seattle Mariners,away,139.0,0.562,0.406,0.156,100,True,139.0,10762.9
